forbes_name,clean_name,education
Pavel Demidov & family,Pavel Demidov,
Lin Dingqiang & family,Lin Dingqiang,
Gao Xingjiang,Gao Xingjiang,
Michael Krasny,Michael Krasny,
Mao Zhongwu,Mao Zhongwu,
Yuri Karptsov,Yuri Karptsov,
JoeBen Bevirt,JoeBen Bevirt,"B.S. in Mechanical Engineering from University of California , and M.S. in Mechanical Engineering from Stanford University"
Zhang Tianyu,Zhang Tianyu,
Daniel Dines,Daniel Dines,University of Bucharest
Maky Zanganeh,Maky Zanganeh,
Chen Wenyuan & family,Chen Wenyuan,
Stanley Tang,Stanley Tang,Stanford University ( BS )
Sven Hagströmer,Sven Hagströmer,
Thomas Bailey,Thomas Bailey,
Mathias Doepfner,Mathias Doepfner,University of Frankfurt (PhD)
Marc Rubiralta,Marc Rubiralta,
Xavier Rubiralta,Xavier Rubiralta,
Jose Luis Rubiralta,Jose Luis Rubiralta,
Andrei Molchanov,Andrei Molchanov,
Wu Zhongyi,Wu Zhongyi,
Qi Xiangdong,Qi Xiangdong,
Mustafa Hamied,Mustafa Hamied,
Eduardo Costantini,Eduardo Costantini,Pontifical Catholic University of Argentina University of East Anglia
Prasanna Sankar,Prasanna Sankar,
Jose Isaac Peres & family,Jose Isaac Peres,
Vladimir Melnikov,Vladimir Melnikov,
Sara Blakely,Sara Blakely,Florida State University
Igor Khudokormov,Igor Khudokormov,
Alexander Isaev,Alexander Isaev,
Robert Knauf & family,Robert Knauf,
Chen Jinghong & family,Chen Jinghong,
Alexander Savelyev & family,Alexander Savelyev,
Alexander Linnik,Alexander Linnik,
Myron Wentz,Myron Wentz,"North Central College , University of North Dakota, The University of Utah"
Richard Barton,Richard Barton,
Daniel Feffer,Daniel Feffer,
Victor Linnik,Victor Linnik,
Vera Rechulski Santo Domingo,Vera Rechulski Santo Domingo,
Zhao Dongping,Zhao Dongping,
Angela Bennett,Angela Bennett,
Wei Lidong & family,Wei Lidong,
Roman Avdeev,Roman Avdeev,"Moscow Power Engineering Institute (1986), Moscow International University of Business and Information Technologies (1994), Lipetsk State Technical University (1996) [ 1 ]"
Susumu Fujita,Susumu Fujita,
Apoorva Mehta,Apoorva Mehta,University of Waterloo
Chen Yuantai,Chen Yuantai,
Gleb Fetisov,Gleb Fetisov,
Boris Nuraliev,Boris Nuraliev,"Moscow State University of Economics, Statistics, and Informatics"
Lauren Leichtman,Lauren Leichtman,
Arthur Levine,Arthur Levine,
Strive Masiyiwa,Strive Masiyiwa,University of Wales
Karl Hedin,Karl Hedin,
Mariana Voigt Schwartz Gomes,Mariana Voigt Schwartz Gomes,
Eduardo Voigt Schwartz,Eduardo Voigt Schwartz,
Lucy Guo,Lucy Guo,Carnegie Mellon University (Dropped out)
Larry Fink,Larry Fink,"University of California, Los Angeles ( BA , MBA )"
Lyudmila Kogan,Lyudmila Kogan,
Alexander Mamut & family,Alexander Mamut,Moscow State University
Lim Kaling,Lim Kaling,
Akshay Arora,Akshay Arora,
Mohammed Ibrahim,Mohammed Ibrahim,
Mark Dixon,Mark Dixon,
Ruben Feffer,Ruben Feffer,
James Jannard,James Jannard,University of Southern California (dropped out)
Yi Xianzhong & family,Yi Xianzhong,
Nancy Lerner,Nancy Lerner,University of Cincinnati ( BA ) Cleveland State University ( JD )
Eiichi Kuriwada,Eiichi Kuriwada,
Wang Shuifu,Wang Shuifu,
Sytse 'Sid' Sijbrandij,Sytse 'Sid' Sijbrandij,
Lawrence Ho,Lawrence Ho,University of Toronto
Nimesh Kampani,Nimesh Kampani,"Sydenham College of Commerce and Economics, Chartered Accountant from ICAI"
Vlad Yatsenko,Vlad Yatsenko,
Andrei Rappoport,Andrei Rappoport,
Jim Koch,Jim Koch,"Harvard University (BA, MBA, JD)"
Vladimir Leshchikov,Vladimir Leshchikov,
Fahed Hariri,Fahed Hariri,
Lai Jianfa,Lai Jianfa,
Per Franzén,Per Franzén,
Guy Laliberté,Guy Laliberté,
Jens von Bahr,Jens von Bahr,
Sun Guangxin,Sun Guangxin,Chinese Academy of Social Sciences Tianjin University
Randolph Lerner,Randolph Lerner,"Columbia University Columbia Law School Clare College, Cambridge"
Norma Lerner,Norma Lerner,
Yasseen Mansour,Yasseen Mansour,George Washington University
Nicholas Woodman,Nicholas Woodman,"University of California, San Diego ( BA )"
Christian Chabot,Christian Chabot,
Clemens Toennies,Clemens Toennies,
Robert Toennies,Robert Toennies,
Chen Qingzhou & family,Chen Qingzhou,
Jorge Feffer & family,Jorge Feffer,
Theresia Gouw,Theresia Gouw,"Brown University , Stanford Graduate School of Business"
Tony Tan Caktiong,Tony Tan Caktiong,University of Santo Tomas ( BS )
Liu Xiucai & family,Liu Xiucai,
Kirill Minovalov,Kirill Minovalov,Moscow Institute for Railway Engineering
Wang Mingwang,Wang Mingwang,
Kai-Uwe Hollweg,Kai-Uwe Hollweg,
Vadim Novinsky,Vadim Novinsky,Leningrad Academy of Civil Aviation
Sundar Pichai,Sundar Pichai,IIT Kharagpur ( BTech ) Stanford University ( MS ) University of Pennsylvania ( MBA )
Satyanarayana Chava,Satyanarayana Chava,
Tony Townley,Tony Townley,
Sanjay Agarwal,Sanjay Agarwal,"Government College, Ajmer Institute of Chartered Accountants of India"
Rajinder Gupta,Rajinder Gupta,
Frank Laukien,Frank Laukien,Massachusetts Institute of Technology (BS) Harvard University (PhD)
Simona Giorgetta,Simona Giorgetta,
Donald Friese,Donald Friese,
Jiang Xuefei & family,Jiang Xuefei,
Pat Neal,Pat Neal,Wharton School of the University of Pennsylvania
Chang Kuo-Ming,Chang Kuo-Ming,
Chen Huwen,Chen Huwen,
Ma Fei,Ma Fei,
Zong Yanmin,Zong Yanmin,
Gary Tharaldson,Gary Tharaldson,
Paul Lee,Paul Lee,
Yousuf Mohammad Jamjoom,Yousuf Mohammad Jamjoom,
Sachin Bansal,Sachin Bansal,Indian Institute of Technology Delhi
J.K. Rowling,J.K. Rowling,University of Exeter ( BA ) Moray House [ a ]
Edward Netylko,Edward Netylko,
Tsao Ter-fung,Tsao Ter-fung,
Sun Hongjun,Sun Hongjun,
Jet Jie Li,Jet Jie Li,
Marina Caprotti,Marina Caprotti,
Giuliana Caprotti,Giuliana Caprotti,
John Lim,John Lim,Seoul Theological University ( BA ) George Fox University ( MDiv )
Hideyuki Busujima,Hideyuki Busujima,
Sarah Humphreys Atkins & family,Sarah Humphreys Atkins,
David Humphreys & family,David Humphreys,
Maxim Tebar,Maxim Tebar,
Catharina Mühleis,Catharina Mühleis,
Wang Yue,Wang Yue,
Gao Yi & family,Gao Yi,
Peter Kamprad,Peter Kamprad,
Mathias Kamprad,Mathias Kamprad,
Jonas Kamprad,Jonas Kamprad,
Jean-Marc Chapus,Jean-Marc Chapus,
Bastian Nominacher,Bastian Nominacher,
Liang Zhaoxian,Liang Zhaoxian,
Suresh Krishna,Suresh Krishna,
Ken Kendrick,Ken Kendrick,West Virginia University (BBA)
Nguyen Dang Quang,Nguyen Dang Quang,Plekhanov Russian University of Economics National Academy of Sciences of Belarus
Danilo Iervolino,Danilo Iervolino,
Soichiro Minami,Soichiro Minami,B.A. Tufts University
Gyorgy Gattyan,Gyorgy Gattyan,Kodolányi János University
Jin Xin,Jin Xin,
Li Zhigang,Li Zhigang,
Charles Gibbon,Charles Gibbon,
Axel Oberwelland & family,Axel Oberwelland,University of St. Gallen
J. Christopher Flowers,J. Christopher Flowers,Harvard University ( BA ) [ 1 ]
Gwynne Shotwell,Gwynne Shotwell,"Northwestern University ( BS , MS )"
Daniela Amodei,Daniela Amodei,"University of California, Santa Cruz (BA)"
Christopher Olah,Christopher Olah,
Dario Amodei,Dario Amodei,Caltech Stanford University ( BS ) Princeton University ( PhD )
Tom Brown,Tom Brown,
Jared Kaplan,Jared Kaplan,
Jack Clark,Jack Clark,
Sam McCandlish,Sam McCandlish,
Andrei Filatov,Andrei Filatov,
Cao Yuhua & family,Cao Yuhua,
Timothy Headington,Timothy Headington,University of Oklahoma Fuller Theological Seminary
Michael Gans & family,Michael Gans,
Qin Long,Qin Long,
Tang Ye,Tang Ye,
Steven Schuurman,Steven Schuurman,Reichman University
Zhang Xuansong,Zhang Xuansong,
Victor Jacobsson,Victor Jacobsson,
Rao Wei & family,Rao Wei,
Oliver Samwer,Oliver Samwer,
Michael Andlauer,Michael Andlauer,
Thomas Sandell,Thomas Sandell,Uppsala University Columbia University
Cheah Cheng Hye,Cheah Cheng Hye,
Pan Shiyi,Pan Shiyi,Hebei Technical College of Petroleum Profession
Polys Haji-Ioannou,Polys Haji-Ioannou,
Ron Shaich,Ron Shaich,Clark University (BA) (1976) Harvard Business School (MBA) (1978) Clark University (Doctor of Humane Letters (Hon.) (2014)
LeBron James,LeBron James,
Tony Chen,Tony Chen,
Martin Klenk,Martin Klenk,
Arnold Schwarzenegger,Arnold Schwarzenegger,University of Wisconsin–Superior ( BBA )
Qian Jinghong,Qian Jinghong,
Aydin Dogan,Aydin Dogan,Istanbul Economy and Commerce Academy
Cheng Xianfeng,Cheng Xianfeng,
Jan-Hendrik Goldbeck,Jan-Hendrik Goldbeck,
Jörg-Uwe Goldbeck,Jörg-Uwe Goldbeck,
Joachim Goldbeck,Joachim Goldbeck,
Faruk Eczacibasi,Faruk Eczacibasi,
Wang Wenyin,Wang Wenyin,Nanjing University [ citation needed ]
Dick Wolf,Dick Wolf,University of Pennsylvania ( BA )
Chen Ailian & family,Chen Ailian,
Michaela Herz,Michaela Herz,
Christian Herz,Christian Herz,
Bruce Springsteen,Bruce Springsteen,
Madan Mohanka,Madan Mohanka,
Zhuang Kuilong & family,Zhuang Kuilong,
Erik Must,Erik Must,
Yang Xuegang,Yang Xuegang,
Huang Jian,Huang Jian,
He Zhenggang,He Zhenggang,
Niraj Shah,Niraj Shah,Cornell University ( BE )
John Christodoulou,John Christodoulou,
Vladimir Krupchak,Vladimir Krupchak,Arkhangelsk State Medical Institute
Sergey Lomakin,Sergey Lomakin,
Nikita Mishin,Nikita Mishin,Moscow State University
Clelia Haji-Ioannou,Clelia Haji-Ioannou,"Banking and International Finance, City, University of London [ 2 ]"
Konstantin Nikolaev,Konstantin Nikolaev,
Noubar Afeyan,Noubar Afeyan,"McGill University (B.Eng., 1983) Massachusetts Institute of Technology (Ph.D, Biochemical Engineering, 1987)"
Rajesh Sharma,Rajesh Sharma,
Réal Plourde,Réal Plourde,
Joe Kiani,Joe Kiani,"San Diego State University (B.S.), (M.S.)"
Luc Tack,Luc Tack,
Blair Hull,Blair Hull,"University of California, Santa Barbara ( BA ) Santa Clara University ( MBA )"
Geng Diangen,Geng Diangen,
Shin Chang-jae,Shin Chang-jae,Seoul National University
Chen Huxiong,Chen Huxiong,
Lisa Su,Lisa Su,"Massachusetts Institute of Technology ( BS , MS , PhD )"
Zhang Jianguo & family,Zhang Jianguo,
Lou Guoqiang,Lou Guoqiang,
Ruben Vardanyan & family,Ruben Vardanyan,
Michael Dunlap & family,Michael Dunlap,
Michele Kang,Michele Kang,University of Chicago (BA) Yale School of Management (MPPM)
Kenneth Lo,Kenneth Lo,
Yvonne Lo,Yvonne Lo,
Mahaveer Prasad Taparia,Mahaveer Prasad Taparia,
Cai Mingtong,Cai Mingtong,
Michael Kum,Michael Kum,London Chamber of Commerce (1966)
Wang Minwen,Wang Minwen,
Veronica Squinzi,Veronica Squinzi,
Marco Squinzi,Marco Squinzi,
J. Wayne Weaver,J. Wayne Weaver,University of Florida
Ke Guihua,Ke Guihua,
Scott Smith,Scott Smith,
Ye Shanqun & family,Ye Shanqun,
Caspar Callerström,Caspar Callerström,
Jiang Zhaobai,Jiang Zhaobai,
Kalpana Parekh,Kalpana Parekh,
Stéphane Bancel,Stéphane Bancel,CentraleSupélec University of Minnesota Harvard Business School
Christian Angermayer,Christian Angermayer,
Jane Goldman,Jane Goldman,
Rui Chen,Rui Chen,
Steve Conine,Steve Conine,Cornell University ( BE )
Candido Pinheiro Koren de Lima & family,Candido Pinheiro Koren de Lima,
Xu Wanmao,Xu Wanmao,
Maxim Shubarev,Maxim Shubarev,
James Litinsky,James Litinsky,
Shivratan Taparia,Shivratan Taparia,
William Franke,William Franke,
Zhang Xin,Zhang Xin,University of Sussex University of Cambridge [ 1 ]
Anatoly Skurov,Anatoly Skurov,
Laurent Junique,Laurent Junique,
Craig Abod,Craig Abod,
Ricardo Villela Marino,Ricardo Villela Marino,
Rodolfo Villela Marino,Rodolfo Villela Marino,
Chung Yong-jin,Chung Yong-jin,Brown University ( BEc )
Gao Yunfeng,Gao Yunfeng,
Andrei Kuzyaev,Andrei Kuzyaev,
Chang Pyung-soon,Chang Pyung-soon,Yonsei University
Zhong Peifeng,Zhong Peifeng,
Kostyantin Zhevago,Kostyantin Zhevago,Kyiv National Economic University
Xue Jiping,Xue Jiping,
Wu Kaiting,Wu Kaiting,
Mimi Haas,Mimi Haas,George Washington University ( BA )
Quek Leng Chye,Quek Leng Chye,
Deng Hui & family,Deng Hui,
Li Fuchao,Li Fuchao,
Ryuji Arai,Ryuji Arai,
Patrizio Vinciarelli,Patrizio Vinciarelli,Sapienza University of Rome
Kim Taek-jin,Kim Taek-jin,"Seoul National University (B.S., M.S.)"
Antonio Gallardo Ballart,Antonio Gallardo Ballart,
Takanori Nakamura,Takanori Nakamura,
Xiu Laigui,Xiu Laigui,
Zhang Keqiang,Zhang Keqiang,
Liu Jianjun,Liu Jianjun,
Soegiarto Adikoesoemo,Soegiarto Adikoesoemo,
Ryan Israel,Ryan Israel,
Bruce Wilson,Bruce Wilson,
Alan Wilson,Alan Wilson,
John Wilson,John Wilson,
Konstantin Goncharov & family,Konstantin Goncharov,
Chen Xuehua,Chen Xuehua,
Xu Shijun & family,Xu Shijun,
Denise Prenosil,Denise Prenosil,
Wang Yanqing & family,Wang Yanqing,
Zhong Huaijun,Zhong Huaijun,
Madeleine Olsson Eriksson,Madeleine Olsson Eriksson,Karolinska Institute
Christopher Brown,Christopher Brown,
Yuri Shefler,Yuri Shefler,Plekhanov Russian University of Economics (1996) [ 2 ]
Anton Fedun,Anton Fedun,
Andrei Krivenko,Andrei Krivenko,
Cui Genliang,Cui Genliang,
Zan Shengda,Zan Shengda,
Ma Bin & family,Ma Bin,
Igor Yakovlev,Igor Yakovlev,
Shin Dong-joo,Shin Dong-joo,"Aoyama Gakuin University (bachelor's, master's)"
Huang Qiaoling,Huang Qiaoling,
Alexander Rinke,Alexander Rinke,
Bart van Malderen,Bart van Malderen,
Luigi Cremonini & family,Luigi Cremonini,
Weijian Shan,Weijian Shan,"University of International Business and Economics (Beijing) University of San Francisco University of California, Berkeley"
Jerry Seinfeld,Jerry Seinfeld,Queens College ( BA )
Robyn Jones,Robyn Jones,
Mark Jones,Mark Jones,
Oleg Misrevra,Oleg Misrevra,
Wu Yonghua,Wu Yonghua,
Ed Hallen,Ed Hallen,
Alfredo Harp Helu & family,Alfredo Harp Helu,National Autonomous University of Mexico ( BS )
Vivek Ramaswamy,Vivek Ramaswamy,Harvard University ( BA ) Yale University ( JD )
George Raymond Zage III,George Raymond Zage III,
Joe Agresti,Joe Agresti,
Ekaterina Fedun,Ekaterina Fedun,
Li Li,Li Li,
Michael Lee-Chin,Michael Lee-Chin,
Sam Tarascio,Sam Tarascio,
Marissa Mayer,Marissa Mayer,"Stanford University ( BS , MS )"
Nicholas Howley,Nicholas Howley,
Edouard Carmignac,Edouard Carmignac,Columbia Business School University of Paris
Herriot Tabuteau,Herriot Tabuteau,
Eusebio Tanco,Eusebio Tanco,
Zhou Wen & family,Zhou Wen,
Mike Danson,Mike Danson,
Koo Bon-neung,Koo Bon-neung,Korea University
Sheila Johnson,Sheila Johnson,"University of Illinois, Urbana-Champaign (BA)"
Chang Kuo-Wei,Chang Kuo-Wei,
Luis von Ahn,Luis von Ahn,Duke University ( BS ) Carnegie Mellon University (PhD)
Daniel Roullier & family,Daniel Roullier,
Wang Jilei,Wang Jilei,
Pedro Grendene Bartelle,Pedro Grendene Bartelle,
Morris Kahn,Morris Kahn,
Ma Yunsheng,Ma Yunsheng,
Hans Langer,Hans Langer,
Roy Mann,Roy Mann,
Amy Goldman Fowler,Amy Goldman Fowler,
Grigory Berezkin,Grigory Berezkin,
Xu Guozhong & family,Xu Guozhong,
Ashok Kajaria,Ashok Kajaria,
Alexander Evnevich & family,Alexander Evnevich,
Shen Jinhua,Shen Jinhua,
Jacques Merceron-Vicat & family,Jacques Merceron-Vicat,
Satya Nadella,Satya Nadella,"Manipal Institute of Technology ( BTech ) University of Wisconsin, Milwaukee ( MS ) University of Chicago ( MBA )"
William Fung,William Fung,Princeton University Harvard Business School
Tatiana Volodina,Tatiana Volodina,
Muhammed Aziz Khan,Muhammed Aziz Khan,"Institute of Business Administration, University of Dhaka (MBA)"
Roger Federer,Roger Federer,
David Kabiller,David Kabiller,
Kurt Krieger,Kurt Krieger,
Bruce Beal Jr,Bruce Beal Jr,
Jonas Dhaenens,Jonas Dhaenens,
Qiu Minxiu,Qiu Minxiu,
Marc Samwer,Marc Samwer,
Alexander Samwer,Alexander Samwer,
Severin Hacker,Severin Hacker,ETH Zurich ( BS ) Carnegie Mellon University ( PhD )
Pradip Burman,Pradip Burman,
Hamad Ali Al-Sagri,Hamad Ali Al-Sagri,
Xie Bingkun & family,Xie Bingkun,
Orion Hindawi,Orion Hindawi,"University of California, Berkeley"
Zuo Zongshen & family,Zuo Zongshen,
John Liew,John Liew,
Kenji Kasahara,Kenji Kasahara,
Harry Klagsbrun,Harry Klagsbrun,B.A. Stockholm University M.B.A. New York University M.Sc. Stockholm School of Economics
Victor Fung,Victor Fung,
Shay Banon,Shay Banon,
Jorge Gallardo Ballart,Jorge Gallardo Ballart,
Lee Ho-jin,Lee Ho-jin,
Diane Kemper,Diane Kemper,
Diamantis Diamantides & family,Diamantis Diamantides,
Gary Friedman,Gary Friedman,
Xiong Xiaochuan,Xiong Xiaochuan,
Arthur Xiaobo Hong,Arthur Xiaobo Hong,
Hedda im Brahm-Droege,Hedda im Brahm-Droege,
Chu Jian,Chu Jian,
Analjit Singh,Analjit Singh,The Doon School Shri Ram College of Commerce Delhi University Boston University
Jeffrey Soffer,Jeffrey Soffer,Brandeis University ( B.A. )
Wang Kunxiao,Wang Kunxiao,
Dou Zhenggang,Dou Zhenggang,
Chaitanya Desai,Chaitanya Desai,
Kushal Desai,Kushal Desai,
Eddy Sugianto,Eddy Sugianto,
Cai Hongbin,Cai Hongbin,
Andrii Verevskyi,Andrii Verevskyi,
Li Liufa & family,Li Liufa,
Hua Shen,Hua Shen,
Xu Zhihan,Xu Zhihan,
Kiki Barki,Kiki Barki,
Ric Elias,Ric Elias,
Chang Byung-gyu,Chang Byung-gyu,KAIST
Fu Kwan,Fu Kwan,
Nutchamai Thanombooncharoen,Nutchamai Thanombooncharoen,
Lu Zhongfang,Lu Zhongfang,
Koo Bon-sik,Koo Bon-sik,Korea University (1980) University of Michigan (M.S. 1985)
Larry Silverstein,Larry Silverstein,New York University
Shashank Kumar,Shashank Kumar,
Harshil Mathur,Harshil Mathur,
Xu Jiangnan,Xu Jiangnan,
K. Rai Sahi,K. Rai Sahi,
Simone Maag de Moura Cunha,Simone Maag de Moura Cunha,
Rihanna,Rihanna,
Don Ahern,Don Ahern,
Bill Cummings,Bill Cummings,
Nigel Austin,Nigel Austin,
Mustafa Latif Topbas,Mustafa Latif Topbas,
Miao Yongjun,Miao Yongjun,
Peng Jianhu,Peng Jianhu,
Zhao Tongtong,Zhao Tongtong,
Khalid Abdul Rahman Saleh Al Rajhi,Khalid Abdul Rahman Saleh Al Rajhi,
Husnu Ozyegin,Husnu Ozyegin,Oregon State University Harvard Business School
Itamar Locks & family,Itamar Locks,
Blairo Maggi,Blairo Maggi,Federal University of Paraná
Thor Bjorgolfsson,Thor Bjorgolfsson,"University of California, San Diego New York University"
Sergey Shnayder & family,Sergey Shnayder,
Liang Wenfeng,Liang Wenfeng,"Zhejiang University ( BEng , MEng )"
Murat Vargi,Murat Vargi,Helsinki School of Economics
Shi Yifeng,Shi Yifeng,
Hong Seok-joh,Hong Seok-joh,
Norman Asbjornson,Norman Asbjornson,
Chang Kuo-Cheng,Chang Kuo-Cheng,
Clóvis Ermírio de Moraes,Clóvis Ermírio de Moraes,
Regina Helena S. Velloso,Regina Helena S. Velloso,
Carlos Eduardo M. Scripilliti,Carlos Eduardo M. Scripilliti,
Wang Zelong,Wang Zelong,
Wen Pengcheng & family,Wen Pengcheng,
Jasminder Singh & family,Jasminder Singh,
Lee Seung-gun,Lee Seung-gun,Seoul National University (bachelor)
Mao Lixiang & family,Mao Lixiang,
Yu Jinkun & family,Yu Jinkun,
Louis Bacon,Louis Bacon,Middlebury College Columbia University
Hubertus Benteler,Hubertus Benteler,
Edwin Soeryadjaya,Edwin Soeryadjaya,"University of Southern California ( BA , BS )"
Wang Junjin,Wang Junjin,
Neerja Sethi,Neerja Sethi,"University of Michigan Indian Institute of Technology, Bombay"
Abigail Bennett,Abigail Bennett,
Gennady Kozovoy,Gennady Kozovoy,
Lennart Blecher,Lennart Blecher,
Lívia Voigt de Assis,Lívia Voigt de Assis,
Dora Voigt de Assis,Dora Voigt de Assis,
Liu Ming Hui,Liu Ming Hui,
Zach McLeroy,Zach McLeroy,
Li Jianguo,Li Jianguo,Shandong University
Wang Qiangxiang,Wang Qiangxiang,
Zhang Yubai,Zhang Yubai,
Axel Stawski,Axel Stawski,University of Birmingham New York University
Alexander Klyachin,Alexander Klyachin,Oregon State University Moscow State University
Richard Kurtz,Richard Kurtz,
David Hindawi,David Hindawi,"University of California, Berkeley"
Stephen Ketchum,Stephen Ketchum,
Huang Guanlin,Huang Guanlin,
Sergio Fogel,Sergio Fogel,
Bruce Mathieson,Bruce Mathieson,
Philippe Benacin,Philippe Benacin,
Raymond Bentley,Raymond Bentley,
Zachary Stern,Zachary Stern,
Xu Yuejuan,Xu Yuejuan,
Xiong Haitao,Xiong Haitao,
Zhang Xuezheng,Zhang Xuezheng,
Han Tao,Han Tao,
Kanye West,Kanye West,
Gary Wang,Gary Wang,
Elizabeth Holmes,Elizabeth Holmes,Stanford University (dropped out)
Rene Benko,Rene Benko,
Sam Bankman-Fried,Sam Bankman-Fried,Massachusetts Institute of Technology ( BS )
